Matrix_Size,Block_Dim_X,Block_Dim_Y,Kernel_Type,Data_Type,Avg_Execution_Time_ms,Execution_Time_Stddev,Total_Energy_J,Avg_Power_W,Peak_Power_W,Baseline_Power_W,Initial_Temp_C,Peak_Temp_C,Final_Temp_C,GFLOPS,GFLOPS_per_Watt,Memory_Bandwidth_GBps,Threads_per_Block
1024,8,8,0,0,14.4629,0.00659165,3.25824,29.396,31.749,34.3533,0,74,74,148.482,5.0511,0.870013,64
1024,16,16,0,0,9.44553,0.589146,0,29.692,29.692,29.5123,0,76,76,227.354,7.65709,1.33215,256
1024,32,32,0,0,6.80344,0.00750981,0,29.989,29.989,29.7706,0,77,77,315.647,10.5254,1.84949,1024
1024,16,32,0,0,9.04495,0.00455083,0,29.989,29.989,30.0408,0,77,77,237.423,7.91702,1.39115,512
1024,32,16,0,0,6.97884,0.120755,0,29.989,29.989,30.0753,0,77,77,307.713,10.2609,1.80301,512
2048,8,8,0,0,98.2187,16.9118,29.4835,30.268,63.182,29.9992,0,78,78,174.914,5.77886,0.512445,64
2048,16,16,0,0,74.8773,0.0159708,22.6723,29.873,53.873,30.1401,0,78,77,229.44,7.68053,0.672189,256
2048,32,32,0,0,53.7076,0.00910155,17.0926,37.7698,50.301,29.9744,0,78,78,319.878,41.0341,0.937141,1024
2048,16,32,0,0,71.8597,0.116631,21.434,29.873,50.006,30.1144,0,77,77,239.075,8.00305,0.700415,512
2048,32,16,0,0,57.6286,0.585183,17.8403,29.972,53.579,29.9195,0,78,78,298.113,9.9464,0.873379,512
4096,8,8,0,0,600.973,24.8423,418.96,73.8858,100.054,30.0772,0,82,82,228.694,5.22031,0.335001,64
4096,16,16,0,0,333.061,35.2962,215.579,71.5678,108.191,33.7174,0,78,77,412.654,10.9022,0.604474,256
4096,32,32,0,0,246.156,35.8546,153.989,57.0398,113.445,32.4672,0,81,81,558.34,22.7221,0.817881,1024
4096,16,32,0,0,310.406,32.5224,205.099,66.0983,97.557,33.5107,0,81,81,442.771,13.5871,0.64859,512
4096,32,16,0,0,267.014,23.0576,175.706,66.6024,116.37,33.3284,0,81,80,514.725,15.4693,0.753992,512
1024,8,8,0,1,24.9152,2.29252,4.31939,38.4847,42.782,34.3697,0,77,77,86.1917,20.9458,1.01006,64
1024,16,16,0,1,23.9091,0.0117865,3.80188,29.989,41.527,29.9953,0,78,77,89.8187,2.99506,1.05256,256
1024,32,32,0,1,24.3023,0.0264961,4.78432,29.89,29.89,30.0267,0,77,77,88.3654,2.95635,1.03553,1024
1024,16,32,0,1,24.126,0.0134138,4.60745,33.6707,41.034,30.0295,0,78,77,89.0113,24.4459,1.0431,512
1024,32,16,0,1,24.1176,0.00665902,3.80054,29.989,37.532,29.9966,0,78,78,89.0421,2.96916,1.04346,512
2048,8,8,0,1,120.313,29.4321,61.7974,69.2944,92.467,30.1202,0,79,79,142.793,3.64509,0.836679,64
2048,16,16,0,1,106.194,34.7616,37.7935,35.856,71.921,30.9384,0,78,78,161.778,32.898,0.94792,256
2048,32,32,0,1,113.921,37.7239,42.2634,42.3428,72.312,30.7479,0,80,80,150.805,13.0061,0.883621,1024
2048,16,32,0,1,122.272,40.1088,46.6031,35.56,73.244,32.3815,0,78,78,140.505,44.2043,0.823273,512
2048,32,16,0,1,113.86,34.6034,45.5417,33.982,63.829,32.2407,0,79,78,150.885,86.651,0.884094,512
4096,8,8,0,1,1079.58,10.4763,738.821,67.0471,98.272,31.4637,0,82,82,127.308,3.57773,0.372973,64
4096,16,16,0,1,727.259,33.5361,490.841,67.1362,94.314,31.8316,0,80,80,188.982,5.3529,0.553659,256
4096,32,32,0,1,714.042,33.4743,474.406,68.0861,72.65,32.2548,0,83,83,192.48,5.37185,0.563907,1024
4096,16,32,0,1,685.81,32.9287,466.857,73.1989,95.966,32.2613,0,82,82,200.404,4.89535,0.587121,512
4096,32,16,0,1,703.262,40.339,481.135,70.4297,101.412,32.7845,0,83,83,195.431,5.19137,0.572551,512
1024,8,8,1,0,14.4692,0.00958378,3.64135,29.396,34.791,34.9967,0,75,75,148.417,5.0489,0.869633,64
1024,16,16,1,0,9.24054,0.00704017,0,29.791,29.791,29.5109,0,77,77,232.398,7.80095,1.36171,256
1024,32,32,1,0,6.8001,0.00523095,0,29.989,30.087,30.0404,0,78,77,315.802,10.5306,1.8504,1024
1024,16,32,1,0,9.04726,0.00540592,0,29.89,29.89,30.0648,0,77,77,237.363,7.94121,1.3908,512
1024,32,16,1,0,6.96602,0.053677,0,29.989,29.989,29.9458,0,77,77,308.28,10.2798,1.80633,512
2048,8,8,1,0,98.2209,16.9106,36.6397,30.285,56.131,30.0853,0,79,78,174.91,5.77548,0.512433,64
2048,16,16,1,0,74.8722,0.0108842,21.7727,29.89,53.611,30.0318,0,78,78,229.456,7.67668,0.672234,256
2048,32,32,1,0,53.7402,0.117435,15.8199,33.9532,49.908,30.0602,0,78,78,319.684,82.1173,0.936574,1024
2048,16,32,1,0,71.8221,0.0406837,21.3852,29.989,50.105,30.0019,0,78,78,239.2,7.97626,0.700782,512
2048,32,16,1,0,57.4299,0.0127231,17.0524,35.7215,53.513,30.1036,0,77,77,299.145,53.2489,0.876401,512
4096,8,8,1,0,608.592,16.7174,412.035,69.6133,80.176,29.8962,0,81,81,225.831,5.68599,0.330807,64
4096,16,16,1,0,335.264,36.3025,220.836,67.7332,114.823,33.4846,0,80,80,409.943,11.9696,0.600502,256
4096,32,32,1,0,244.233,33.5388,153.015,76.1086,104.644,32.1322,0,79,79,562.737,12.7963,0.824322,1024
4096,16,32,1,0,312.254,38.5056,182.562,60.327,74.853,33.026,0,81,81,440.151,16.1222,0.644752,512
4096,32,16,1,0,266.546,22.5832,173.777,72.3729,112.792,33.36,0,80,80,515.628,13.2169,0.755315,512
1024,8,8,1,1,24.1405,0.00663128,4.27178,29.676,42.881,33.1894,0,76,76,88.9579,2.99764,1.04248,64
1024,16,16,1,1,23.9046,0.00522275,3.21622,29.281,29.478,29.8598,0,75,74,89.8354,3.06804,1.05276,256
1024,32,32,1,1,25.139,1.4696,4.13035,28.803,37.806,29.4123,0,73,71,85.4243,2.96581,1.00107,1024
1024,16,32,1,1,24.6883,1.75132,4.01533,28.408,35.383,28.6357,0,68,68,86.9839,3.06195,1.01934,512
1024,32,16,1,1,24.099,0.00639972,3.1703,29,29,28.5584,0,72,72,89.1111,3.0728,1.04427,512
2048,8,8,1,1,131.167,35.8232,65.3736,39.101,85.779,29.1302,0,74,74,130.978,13.1361,0.767447,64
2048,16,16,1,1,99.7743,32.4518,38.7791,59.4804,71.672,30.5975,0,74,74,172.187,5.96157,1.00891,256
2048,32,32,1,1,107.644,34.1589,36.214,40.44,51.874,29.7346,0,74,73,159.598,14.9082,0.935147,1024
2048,16,32,1,1,101.177,30.9857,35.5232,33.705,71.672,29.9324,0,75,74,169.8,45.0084,0.994923,512
2048,32,16,1,1,110.834,35.7928,39.623,48.9178,68.333,31.212,0,66,66,155.005,8.75446,0.908235,512
4096,8,8,1,1,981.856,14.8095,674.333,68.333,98.043,29.0124,0,72,71,139.979,3.55994,0.410094,64
4096,16,16,1,1,718.128,29.0675,475.622,66.6477,73.289,30.1451,0,78,78,191.385,5.24305,0.560698,256
4096,32,32,1,1,708.805,43.6144,479.779,69.8332,96.683,31.4095,0,80,80,193.902,5.04641,0.568073,1024
4096,16,32,1,1,687.359,31.7219,469.041,71.2205,93.342,31.1894,0,82,82,199.952,4.99493,0.585797,512
4096,32,16,1,1,701.461,41.0828,478.659,69.4062,100.248,32.1515,0,82,82,195.932,5.25927,0.574021,512
