Matrix_Size,Block_Dim_X,Block_Dim_Y,Kernel_Type,Data_Type,Avg_Execution_Time_ms,Execution_Time_Stddev,Total_Energy_J,Avg_Power_W,Peak_Power_W,Baseline_Power_W,Initial_Temp_C,Peak_Temp_C,Final_Temp_C,GFLOPS,GFLOPS_per_Watt,Memory_Bandwidth_GBps,Threads_per_Block
512,8,8,0,0,1.86771,0.00198047,0,29.478,29.478,29.7893,0,75,75,143.724,4.87564,1.68427,64
512,16,16,0,0,1.19867,0.00745436,0,29.873,29.873,29.6237,0,77,77,223.945,7.49656,2.62435,256
512,32,32,0,0,0.935706,0.00747522,0,29.676,29.676,29.9507,0,76,76,286.88,9.66708,3.36188,1024
512,16,32,0,0,1.16828,0.00218302,0,29.774,29.774,29.7609,0,76,76,229.771,7.71716,2.69263,512
512,32,16,0,0,0.88857,0.00606751,0,29.774,29.873,29.869,0,77,76,302.098,10.1464,3.54022,512
1024,8,8,0,0,14.5626,0.171709,1.44368,29.774,29.774,29.8383,0,76,76,147.465,4.95283,0.864056,64
1024,16,16,0,0,9.24444,0.0136929,0,0,29.873,29.8625,0,77,0,232.3,232.3,1.36113,256
1024,32,32,0,0,6.80036,0.0027533,0,29.774,29.774,29.9779,0,76,76,315.789,10.6062,1.85033,1024
1024,16,32,0,0,9.64403,1.19809,0,29.873,29.873,29.8561,0,77,77,222.675,7.45406,1.30474,512
1024,32,16,0,0,6.94835,0.0516854,0,29.577,29.577,29.9891,0,75,75,309.064,10.4495,1.81092,512
2048,8,8,0,0,96.3959,15.7753,20.4619,48.0261,62.007,29.6852,0,78,78,178.222,9.71716,0.522135,64
2048,16,16,0,0,74.9543,0.142007,11.1832,29.873,53.186,30.5079,0,77,77,229.205,7.67264,0.671498,256
2048,32,32,0,0,53.899,0.343561,7.77171,42.979,48.827,29.9136,0,77,77,318.742,24.3959,0.933815,1024
2048,16,32,0,0,71.8102,0.0304771,10.7671,29.873,49.613,29.9078,0,77,77,239.24,8.00857,0.700898,512
2048,32,16,0,0,57.4227,0.0184898,7.78913,29.774,51.646,29.9586,0,77,77,299.182,10.0484,0.876511,512
4096,8,8,0,0,604.797,32.1738,202.537,67.0341,86.505,29.8479,0,81,81,227.248,6.11109,0.332883,64
4096,16,16,0,0,346.277,45.3128,111.934,74.4213,91.786,33.5908,0,79,79,396.904,9.72078,0.581403,256
4096,32,32,0,0,256.106,45.2168,83.8319,77.3135,111.219,32.4486,0,82,81,536.648,11.9614,0.786106,1024
4096,16,32,0,0,318.653,42.5673,102.575,69.215,87.911,33.7773,0,79,79,431.312,12.171,0.631805,512
4096,32,16,0,0,283.703,38.5509,90.3467,67.8655,120.007,33.0548,0,81,81,484.447,13.9166,0.70964,512
6144,8,8,0,0,2791.05,14.4387,966.541,70.5124,90.19,32.0594,0,83,82,166.194,4.32201,0.162299,64
6144,16,16,0,0,1178.14,43.3088,400.805,68.3122,77.005,32.8137,0,80,80,393.72,11.0912,0.384492,256
6144,32,32,0,0,836.241,38.0381,282.153,67.6381,92.428,31.913,0,81,81,554.693,15.5267,0.541692,1024
6144,16,32,0,0,1058.01,30.1574,359.073,68.1453,93.536,32.0841,0,76,76,438.423,12.1577,0.428148,512
6144,32,16,0,0,934.3,30.5551,325.867,73.0942,111.412,31.1125,0,79,79,496.475,11.826,0.484839,512
8192,8,8,0,0,6645.09,18.6652,2308.45,69.5819,83.537,30.0094,0,83,77,165.462,4.18125,0.121188,64
8192,16,16,0,0,2735.89,28.3517,952.912,71.0652,111.316,29.4381,0,80,80,401.885,9.6544,0.294349,256
8192,32,32,0,0,2003.98,29.9258,688.68,69.9438,87.813,30.1895,0,84,83,548.663,13.8013,0.401853,1024
8192,16,32,0,0,2513.29,39.6432,866.383,69.4395,96.974,30.4921,0,82,82,437.479,11.2326,0.320419,512
8192,32,16,0,0,2209.89,19.2564,763.41,69.7364,105.517,30.4535,0,82,82,497.541,12.6656,0.36441,512
512,8,8,1,0,1.87941,0.00677622,0,29.396,29.396,34.5344,0,74,74,142.83,4.85881,1.67378,64
512,16,16,1,0,1.19523,0.00465479,0,29.577,29.577,29.4132,0,75,75,224.59,7.59339,2.63191,256
512,32,32,1,0,0.928858,0.00523293,0,29.396,29.396,29.6564,0,75,75,288.995,9.83111,3.38666,1024
512,16,32,1,0,1.17603,0.00747566,0,29.577,29.593,29.4982,0,75,75,228.256,7.71736,2.67488,512
512,32,16,1,0,0.88647,0.00892659,0,0,29.692,29.6606,0,76,0,302.814,302.814,3.5486,512
1024,8,8,1,0,14.4706,0.0150786,1.90644,30.087,37.138,29.8519,0,78,78,148.403,4.93247,0.86955,64
1024,16,16,1,0,9.25057,0.00673416,0,29.89,29.89,30.133,0,77,77,232.146,7.76668,1.36023,256
1024,32,32,1,0,6.79715,0.00455488,0,29.89,29.89,29.8957,0,77,77,315.939,10.5701,1.85121,1024
1024,16,32,1,0,9.04303,0.00538764,0,29.989,29.989,29.9802,0,77,77,237.474,7.9187,1.39145,512
1024,32,16,1,0,6.92917,0.0107474,0,29.89,29.89,29.9808,0,77,77,309.919,10.3687,1.81593,512
2048,8,8,1,0,97.6013,15.5978,20.2588,46.1155,61.946,29.9559,0,78,78,176.021,10.8927,0.515686,64
2048,16,16,1,0,74.8744,0.00743896,10.7073,29.791,52.825,30.3357,0,77,77,229.449,7.70196,0.672214,256
2048,32,32,1,0,53.7136,0.011041,8.83237,40.7358,49.348,29.8609,0,78,78,319.842,29.411,0.937037,1024
2048,16,32,1,0,71.7879,0.04438,10.743,29.791,49.81,30.1894,0,77,77,239.314,8.0331,0.701116,512
2048,32,16,1,0,57.419,0.0139078,8.95651,34.733,53.709,29.9181,0,78,78,299.202,62.1403,0.876568,512
4096,8,8,1,0,607.701,27.5518,215.059,71.9845,106.613,30.089,0,80,80,226.162,5.39824,0.331292,64
4096,16,16,1,0,339.607,33.5546,109.712,62.9604,96.841,33.3182,0,79,79,404.7,13.6528,0.592822,256
4096,32,32,1,0,258.548,51.9982,75.7532,56.0464,101.412,33.237,0,82,81,531.58,23.3054,0.778681,1024
4096,16,32,1,0,315.771,36.2553,89.8276,58.8002,72.063,33.6434,0,79,79,435.249,17.3014,0.637572,512
4096,32,16,1,0,282.968,39.2416,92.6179,64.0584,106.39,32.7486,0,82,81,485.705,15.5129,0.711482,512
6144,8,8,1,0,2741.34,13.6364,950.757,70.4456,90.871,32.232,0,83,83,169.208,4.42794,0.165242,64
6144,16,16,1,0,1175.98,41.3239,394.137,68.6417,73.094,32.714,0,80,80,394.443,10.9788,0.385199,256
6144,32,32,1,0,837.335,40.2192,281.588,69.138,89.76,31.9492,0,82,82,553.968,14.8961,0.540984,1024
6144,16,32,1,0,1074.15,27.9562,362.231,67.0351,85.097,31.1442,0,80,80,431.836,12.0319,0.421715,512
6144,32,16,1,0,940.617,16.368,318.863,69.6834,95.36,30.9336,0,82,81,493.141,12.7263,0.481583,512
8192,8,8,1,0,6448.71,13.8981,2241.77,69.9526,90.871,30.4286,0,83,79,170.501,4.31387,0.124879,64
8192,16,16,1,0,2744.44,23.0684,944.998,69.5186,77.248,29.6821,0,81,81,400.633,10.0569,0.293432,256
8192,32,32,1,0,1994.81,25.525,686.986,69.2234,113.251,30.268,0,83,83,551.186,14.1492,0.4037,1024
8192,16,32,1,0,2515.75,27.021,866.297,68.8991,81.541,30.5096,0,83,83,437.05,11.3846,0.320105,512
8192,32,16,1,0,2223.33,31.3201,770.507,70.1396,103.159,30.7022,0,82,82,494.534,12.5397,0.362207,512
512,8,8,2,0,1.22825,0.0297989,0,29.297,29.297,34.8649,0,74,74,218.551,7.45985,2.56115,64
512,16,16,2,0,0.80848,0.00826875,0,29.692,29.692,29.3886,0,76,76,332.025,11.1823,3.89092,256
