Matrix_Size,Block_Dim_X,Block_Dim_Y,Kernel_Type,Data_Type,Avg_Execution_Time_ms,Execution_Time_Stddev,Total_Energy_J,Avg_Power_W,Peak_Power_W,Baseline_Power_W,Initial_Temp_C,Peak_Temp_C,Final_Temp_C,GFLOPS,GFLOPS_per_Watt,Memory_Bandwidth_GBps,Threads_per_Block
1024,8,8,0,0,1.70764,0.0408106,0,61.876,64.664,61.2779,0,33,33,1257.58,20.3242,7.36862,64
1024,16,16,0,0,1.22871,0.0359218,0,62.15,62.743,51.3089,0,33,33,1747.76,161.216,10.2408,256
1024,32,32,0,0,1.13147,0.0342319,0,60.339,61.685,51.2888,0,33,33,1897.96,209.714,11.1208,1024
1024,16,32,0,0,1.29821,0.0296718,0,61.972,62.455,51.2715,0,33,33,1654.18,154.59,9.69248,512
1024,32,16,0,0,1.15988,0.039356,0,60.049,62.068,51.2363,0,33,33,1851.48,210.091,10.8485,512
2048,8,8,0,0,17.8276,0.0373236,11.0814,67.05,157.638,51.2519,0,33,33,963.665,60.9989,2.82324,64
2048,16,16,0,0,9.60096,0.034374,0,67.231,89.461,51.2301,0,33,33,1789.39,111.831,5.24236,256
2048,32,32,0,0,8.77759,0.0678658,0,109.287,109.287,51.2238,0,33,33,1957.24,33.7088,5.73411,1024
2048,16,32,0,0,9.61211,0.0378254,0,64.475,86.318,51.2807,0,33,33,1787.31,135.462,5.23627,512
2048,32,16,0,0,8.87938,0.0366716,0,65.706,80.553,51.2249,0,33,33,1934.81,133.609,5.66838,512
4096,8,8,0,0,188.623,1.38235,365.808,203.92,219.348,51.2552,0,35,35,728.646,4.77283,1.06735,64
4096,16,16,0,0,73.1123,2.85031,142.16,222.297,283.387,55.9392,0,35,35,1879.83,11.3,2.75366,256
4096,32,32,0,0,66.1058,1.47753,113.037,184.428,227.748,55.621,0,35,34,2079.07,16.141,3.04552,1024
4096,16,32,0,0,67.98,2.83274,131.863,204.721,276.787,55.3208,0,36,36,2021.76,13.5324,2.96156,512
4096,32,16,0,0,66.915,1.614,125.592,189.901,253.45,55.9723,0,35,35,2053.93,15.336,3.00869,512
1024,8,8,0,1,2.0727,0.040768,0,64.458,70.986,56.4473,0,33,33,1036.08,129.337,12.1416,64
1024,16,16,0,1,1.51366,0.0398291,0,66.288,68.979,51.2406,0,33,33,1418.74,94.2844,16.6258,256
1024,32,32,0,1,1.64143,0.0367765,0,65.326,67.167,51.2214,0,33,33,1308.3,92.7569,15.3317,1024
