Matrix_Size,Block_Dim_X,Block_Dim_Y,Kernel_Type,Data_Type,Avg_Execution_Time_ms,Execution_Time_Stddev,Total_Energy_J,Avg_Power_W,Peak_Power_W,Baseline_Power_W,Initial_Temp_C,Peak_Temp_C,Final_Temp_C,GFLOPS,GFLOPS_per_Watt,Memory_Bandwidth_GBps,Threads_per_Block
512,8,8,0,0,0.287379,0.0500881,0,52.848,53.22,51.0895,0,32,32,934.081,531.19,10.9463,64
512,16,16,0,0,0.220659,0.0455625,0,52.554,53.22,51.1073,0,32,32,1216.52,840.887,14.256,256
512,32,32,0,0,0.226726,0.0498114,0,52.655,52.655,51.1291,0,32,32,1183.96,775.903,13.8746,1024
512,16,32,0,0,0.218784,0.0517119,0,52.741,52.751,51.0996,0,32,32,1226.94,747.502,14.3782,512
512,32,16,0,0,0.208211,0.0472987,0,52.162,52.848,51.14,0,32,32,1289.25,1261.55,15.1084,512
1024,8,8,0,0,1.71223,0.0511389,0,63.689,64.28,51.1833,0,32,32,1254.2,100.29,7.34884,64
1024,16,16,0,0,1.23805,0.0497669,0,61.204,62.839,51.2113,0,32,32,1734.56,173.583,10.1635,256
1024,32,32,0,0,1.13402,0.0481693,0,61.091,61.493,51.209,0,32,32,1893.7,191.632,11.0959,1024
1024,16,32,0,0,1.29963,0.0384031,0,62.069,62.166,51.2021,0,32,32,1652.38,152.057,9.68193,512
1024,32,16,0,0,1.15955,0.0456205,0,61.204,61.685,51.2087,0,32,32,1851.99,185.286,10.8515,512
2048,8,8,0,0,19.2405,0.0783324,5.22314,63.39,146.273,51.2415,0,33,32,892.904,73.4989,2.61593,64
2048,16,16,0,0,9.62136,0.0405375,0,65.997,88.817,51.233,0,32,32,1785.6,120.942,5.23124,256
2048,32,32,0,0,8.79643,0.0818306,0,66.363,66.48,51.2186,0,32,32,1953.05,128.962,5.72183,1024
2048,16,32,0,0,9.61341,0.0408273,0,66.384,78.745,51.2068,0,32,32,1787.07,117.747,5.23557,512
2048,32,16,0,0,8.88285,0.0414146,0,91.893,91.893,51.2181,0,32,32,1934.05,47.549,5.66616,512
4096,8,8,0,0,185.325,1.8497,175.35,200.961,220.785,51.2012,0,35,35,741.612,4.95202,1.08635,64
4096,16,16,0,0,74.2469,3.66509,63.0447,205.268,282.814,55.9733,0,35,35,1851.11,12.399,2.71158,256
4096,32,32,0,0,67.5407,2.38538,53.0228,180.16,227.456,60.944,0,35,35,2034.9,17.069,2.98082,1024
4096,16,32,0,0,70.9897,4.35564,58.0233,217.898,273.63,54.6583,0,35,35,1936.04,11.8601,2.836,512
4096,32,16,0,0,68.0144,1.83392,59.2301,202.015,250.677,61.6432,0,35,35,2020.73,14.3956,2.96006,512
6144,8,8,0,0,906.203,3.08212,825.007,184.503,188.297,56.5133,0,35,35,511.868,3.9993,0.499871,64
6144,16,16,0,0,263.222,5.61291,328.545,264.901,280.476,61.6992,0,37,37,1762.22,8.67227,1.72092,256
6144,32,32,0,0,211.617,11.7071,248.257,262.721,289.199,61.692,0,37,37,2191.96,10.9037,2.14059,1024
